pool	file	id	zscore	ratio
H5	2000133752_2012-04-19_H5	IOH28024_MAGEA6	1.52951046536	1.26844660194
H5	2000133752_2012-04-19_H5	IOH22740_MGC34800	3.18455530749	1.48636363636
H5	2000133752_2012-04-19_H5	IOH45191_MAP3K13	0.762231443407	1.16742023409
H5	2000133752_2012-04-19_H5	IOH50177_CMTM1	1.07696557152	1.20886075949
H5	2000133752_2012-04-19_H5	IOH26031_CCR6	2.78885301946	1.43426216641
H5	2000133752_2012-04-19_H5	IOH25860_CTAGE6	11.5645486641	2.58974358974
H5	2000133752_2012-04-19_H5	IOH59716_RTN2	3.1234635359	1.4783197832
H5	2000133752_2012-04-19_H5	IOH28779_LRTM1	2.00302821141	1.33079390537
H5	2000133752_2012-04-19_H5	IOH3136_HINT1	1.56477588639	1.27308994197
H5	2000133752_2012-04-19_H5	IOH11557_SOD2	1.34872485051	1.24464285714
H5	2000133752_2012-04-19_H5	IOH27596_PEX1	2.11373411962	1.34537037037
H5	2000133752_2012-04-19_H5	IOH58626_BCL2L11	2.41082228177	1.38448748044
H5	2000133752_2012-04-19_H5	SNAI3_	3.60906064282	1.54225755622
H5	2000133752_2012-04-19_H5	IOH59847_SPRR3	6.19484019619	1.88272290048
H5	2000133752_2012-04-19_H5	IOH44678_PXMP4	2.0283986119	1.33413438431
H5	2000133752_2012-04-19_H5	IOH26172_FMR1	3.12399553396	1.47838983051
H5	2000133752_2012-04-19_H5	IOH27550_EPN1	2.60653316089	1.41025641026
H5	2000133752_2012-04-19_H5	IOH11866_LEFTY1	1.48547716405	1.26264880952
H5	2000133752_2012-04-19_H5	IOH27491_FAM126B	3.89883185422	1.58041125541
H5	2000133752_2012-04-19_H5	IOH7470_NPM1	1.53843329835	1.2696214567
H5	2000133752_2012-04-19_H5	IOH10877_GRPEL1	2.25246140187	1.36363636364
H5	2000133752_2012-04-19_H5	IOH43733_HAS3	1.35108137057	1.24495313627
H5	2000133752_2012-04-19_H5	IOH61886_B4GALT6	1.71929095589	1.29343468724
H5	2000133752_2012-04-19_H5	IOH46208_TNFAIP8	2.34993527435	1.37647058824
H5	2000133752_2012-04-19_H5	IOH57576_SIRPG	3.82100367641	1.57016374714
H5	2000133752_2012-04-19_H5	IOH22688_NPHS2	2.54530825256	1.4021950272
H5	2000133752_2012-04-19_H5	IOH21484_PRRT1	1.53698928816	1.26943132625
H5	2000133752_2012-04-19_H5	IOH12304_SDSL	2.73842489113	1.42762237762
H5	2000133752_2012-04-19_H5	IOH59040_AK2	2.66275259048	1.41765873016
H5	2000133752_2012-04-19_H5	IOH9856_APOC1	1.73466761338	1.29545930646
H5	2000133752_2012-04-19_H5	IOH10219_EIF4A3	2.34508570381	1.37583205325
H5	2000133752_2012-04-19_H5	IOH12294_CAMKK2	2.54572687188	1.40225014611
H5	2000133752_2012-04-19_H5	IOH3936_RAB6B	2.84285564606	1.4413726035
H5	2000133752_2012-04-19_H5	IOH56629_IFNA13	2.32267563205	1.37288135593
H5	2000133752_2012-04-19_H5	IOH12064_CIRH1A	1.31790944269	1.24058544304
H5	2000133752_2012-04-19_H5	IOH62892_TKT	2.432612287	1.38735653462
H5	2000133752_2012-04-19_H5	IOH40263_PAEP	2.06251732552	1.33862673926
H5	2000133752_2012-04-19_H5	IOH50060_GUSBL2	1.71329230811	1.29264485514
H5	2000133752_2012-04-19_H5	IOH58622_SYPL2	1.69639506577	1.29042002301
H5	2000133752_2012-04-19_H5	IOH10068_UBE2C	1.81225137155	1.3056746324
H5	2000133752_2012-04-19_H5	IOH27586_DEXI	2.74030119803	1.42786942787
H5	2000133752_2012-04-19_H5	IOH45806_NR4A2	1.81498666374	1.30603478382
H5	2000133752_2012-04-19_H5	IOH3265_THEM2	2.75524993024	1.42983770287
H5	2000133752_2012-04-19_H5	IOH41011_CDADC1	4.85905300329	1.70684199606
H5	2000133752_2012-04-19_H5	IOH3479_WTAP	2.66678270543	1.41818936877
H5	2000133752_2012-04-19_H5	IOH22544_KCTD17	2.10507903218	1.34423076923
H5	2000133752_2012-04-19_H5	IOH3753_RNPEP	2.25510445141	1.36398436963
H5	2000133752_2012-04-19_H5	IOH4924_ALDH2	1.79874373352	1.3038961039
H5	2000133752_2012-04-19_H5	IOH28790_ZNF436	1.34199887501	1.243757259
