pair	id	zscore_h	zscore_v	ratio_h	ratio_v
H12 x V5	IOH12916_MB	2.75077806956	2.99289673751	1.86285637439	1.48919426826
H12 x V5	IOH21078_PIK4CA	3.11304996568	3.41608452614	1.96607379083	1.55135410121
H12 x V5	IOH39550_CASR	2.5322270298	3.36584072221	1.80058747105	1.54397405258
H12 x V5	IOH6665_HDAC7A	3.92311472566	3.89412658234	2.196875	1.62157118958
H12 x V6	CONTROL_IgG/ AF647 555	4.26372399171	4.83373548489	2.29392036519	1.61501959099
H12 x V6	IOH11347_HBZ	2.57552481375	3.07020088627	1.81292374512	1.39815685498
H12 x V6	IOH12916_MB	2.75077806956	2.57625099936	1.86285637439	1.33741558911
H12 x V6	IOH29295_C19orf33	3.67505328804	3.75686569684	2.12619808307	1.48259637188
H12 x V6	IOH3435_MAPK13	3.45928175522	3.1439642751	2.06472110846	1.40722757598
H12 x V6	IOH6665_HDAC7A	3.92311472566	2.79436170313	2.196875	1.36423677198
H12 x V7	CONTROL_IgG 488/594	2.50568029392	3.46263810622	1.7930238551	1.59061511243
H12 x V7	CONTROL_IgG/ AF647 555	4.26372399171	6.15783833343	2.29392036519	2.02015782421
H12 x V7	IOH21078_PIK4CA	3.11304996568	3.45529265595	1.96607379083	1.58944444444
H12 x V7	IOH29295_C19orf33	3.67505328804	4.35341850575	2.12619808307	1.7325816441
H12 x V7	IOH5494_SF3B4	2.53399269589	2.62865315095	1.80109053931	1.45770025303
H12 x V7	IOH6665_HDAC7A	3.92311472566	2.54025209134	2.196875	1.44361149239
H12 x V8	CONTROL_IgG/ AF647 555	4.26372399171	4.35830587242	2.29392036519	1.93654128704
H12 x V9	CONTROL_IgG/ AF647 555	4.26372399171	3.36732392211	2.29392036519	1.34017737837
H12 x V9	IOH21078_PIK4CA	3.11304996568	3.59902117019	1.96607379083	1.36492808114
H12 x V11	CONTROL_IgG 488/594	2.50568029392	2.87343797134	1.7930238551	1.32795785366
H12 x V11	CONTROL_IgG/ AF647 555	4.26372399171	4.09310655622	2.29392036519	1.471673283
H12 x V12	CONTROL_IgG 488/594	2.50568029392	3.99095267016	1.7930238551	4.11123937157
H12 x V12	CONTROL_IgG/ AF647 555	4.26372399171	4.98018567143	2.29392036519	4.85898228555
