Name	ID	F635 Median	B635 Median	Flags	orig_row_number	ratio_naive	zscore_naive	zscore_mean_naive
MRPL15	IOH3228	85.0	88.0	0	99	0.965909090909	-1.00437697714	-0.818710208214
MRPL15	IOH3228	82.0	83.0	0	100	0.987951807229	-0.633043439288	-0.818710208214
SPG21	IOH4511	98.0	80.0	0	101	1.225	3.3602912653	2.74455608853
SPG21	IOH4511	91.0	79.0	0	102	1.15189873418	2.12882091175	2.74455608853
DDC	IOH3416	93.0	80.0	0	103	1.1625	2.30741076822	2.30741076822
DDC	IOH3416	93.0	80.0	0	104	1.1625	2.30741076822	2.30741076822
C1orf164	IOH4517	78.0	78.0	0	105	1.0	-0.430078524188	-0.216768524978
C1orf164	IOH4517	78.0	77.0	0	106	1.01298701299	-0.211298161158	-0.216768524978
PDIA4	IOH3420	79.0	76.0	0	107	1.03947368421	0.234898631863	0.789046261905
PDIA4	IOH3420	84.0	76.0	0	108	1.10526315789	1.34319389195	0.789046261905
TUBD1	IOH4521	74.0	77.0	0	109	0.961038961039	-1.08641961328	-0.864869878563
TUBD1	IOH4521	78.0	79.0	0	110	0.987341772152	-0.64332014385	-0.864869878563
ND	IOH3438	84.0	82.0	0	111	1.0243902439	-0.0191983302053	1.45220707442
ND	IOH3438	94.0	77.0	0	112	1.22077922078	3.28918764732	1.45220707442
WDR12	IOH5854	85.0	75.0	0	113	1.13333333333	1.81606653625	1.35797116208
WDR12	IOH5854	82.0	76.0	0	114	1.07894736842	0.899875787913	1.35797116208
F12	IOH11582	84.0	78.0	0	115	1.07692307692	0.865774395295	1.20235956919
F12	IOH11582	86.0	77.0	0	116	1.11688311688	1.53894474308	1.20235956919
B3GNT1	IOH13572	76.0	77.0	0	117	0.987012987013	-0.648858887217	-0.211298161158
B3GNT1	IOH13572	80.0	77.0	0	118	1.03896103896	0.226262564901	-0.211298161158
TESC	IOH11566	83.0	76.0	0	119	1.09210526316	1.12153483993	1.19869463652
TESC	IOH11566	87.0	79.0	0	120	1.10126582278	1.27585443311	1.19869463652
